Riesgos	acp_cov.x...1.	acp_cov.x...2.	acp_cov.x...3.	acp_cov.x...29.	acp_cov.x...30.	Nivel
90.89092148	-283.2526438	-29.1680666	36.12971579	0.442895809	0.837618337	Alto
90.59210202	-283.7909714	-30.87165083	41.4085699	0.371428774	2.725710593	Alto
89.96867652	-279.5172176	-29.42364128	38.55801744	1.869135316	0.174260347	Alto
92.06012528	-291.5860951	-30.42204062	38.42570136	-1.416990477	-1.16833328	Alto
90.41253453	-281.512519	-32.89503207	37.52151707	3.201778225	-0.362019068	Alto
88.82499594	-271.7338071	-33.88635493	26.82929367	1.663972317	2.219663507	Alto
90.28017532	-279.9296783	-37.35757265	36.07055267	1.879777002	-0.013676134	Alto
91.23588945	-288.1302588	-32.01911584	39.05866671	0.134957091	-0.444472075	Alto
91.0775584	-285.7309677	-33.32701929	41.45305388	0.245385393	-3.313969847	Alto
90.88581107	-286.85387	-28.22318814	33.01483001	0.180216961	1.143619367	Alto
90.471837	-283.081176	-29.30763457	34.4080211	-1.380634943	1.287369436	Alto
89.77827359	-276.6337548	-34.47062655	29.87764271	-0.834808461	3.847549749	Alto
90.69932405	-282.9057191	-29.90174452	37.36001789	2.238845341	0.350585723	Alto
89.27439665	-274.8193887	-31.19229533	31.59510343	1.296856606	3.652418048	Alto
91.85981081	-290.0058732	-33.69877615	37.95433993	-3.359040597	-0.720659015	Alto
90.52784525	-284.0644206	-30.1511183	37.25064064	1.030833546	-1.200141018	Alto
90.50722735	-281.686788	-32.54684146	32.4086331	1.682923726	1.744349861	Alto
91.19185102	-285.0750202	-32.75057593	42.02889375	0.060943544	0.252672043	Alto
89.45970536	-274.3152979	-33.55893856	32.37799339	-2.480648514	-1.180136312	Alto
90.64316593	-282.6591099	-34.36107725	33.03395759	1.495532826	2.093885569	Alto
90.35603581	-280.8717922	-33.9770178	36.54966808	0.118829937	-4.095304271	Alto
89.8087095	-276.4509451	-35.8590574	32.41793097	-0.111890885	4.104353653	Alto
90.8380292	-282.9184283	-33.38915261	35.06589514	0.696711104	-0.749785371	Alto
92.18529459	-292.748629	-32.97721404	41.10237039	-0.571008699	-1.932496543	Alto
90.17248935	-279.5430616	-31.79238428	38.59374455	-2.251505379	1.258292477	Alto
91.51614979	-287.2487872	-28.39530993	36.18056219	0.001927283	-4.052111093	Alto
91.37770753	-288.7707485	-28.09732475	37.36051028	1.450799211	2.963875674	Alto
91.46681895	-289.0083071	-28.83318009	40.34195293	-0.022789242	1.72222237	Alto
91.13300944	-286.331609	-34.57696474	33.59959411	-1.374313818	-0.883846782	Alto
90.80288085	-284.3740754	-30.59349828	41.12249179	0.177790259	-3.114231702	Alto
91.35756324	-288.434005	-29.93092363	38.53703897	0.474928315	-0.812321804	Alto
91.69237331	-290.415144	-33.07328571	40.15871732	-0.850393027	-0.624428192	Alto
91.27526326	-286.2473822	-29.56259534	37.50041629	-0.762030501	-3.462978867	Alto
90.30947966	-280.5044402	-33.17651533	38.0997311	-1.530809793	-0.354862464	Alto
89.74693172	-276.794209	-34.44864579	34.62952413	0.157684089	1.398040637	Alto
89.73934486	-276.7280651	-36.10272121	34.63896751	2.193965657	-0.32238131	Alto
90.33217439	-281.442333	-33.5324658	39.0716815	-2.465588875	1.675098472	Alto
90.56907724	-281.2302966	-32.98139633	38.00136932	-1.122733823	0.91199345	Alto
91.21918802	-286.4244288	-33.02793764	31.36299799	0.463430652	-2.57945868	Alto
89.84234424	-278.1909659	-36.59512418	36.63890179	-0.768866038	0.53981242	Alto
