Src,aux,Dest,Weight
Agente21856,1,Agente11749,1
Agente6569,1,Agente20230,1
Agente7865,1,Agente6623,1
Agente20728,1,Agente14959,2
Agente19730,1,Agente15003,1
Agente25275,1,Agente22805,1
Agente6464,1,Agente17278,2
Agente2433,1,Agente22935,1
Agente28106,1,Agente11082,1
Agente24589,1,Agente28245,1
Agente18356,1,Agente13028,1
Agente2420,1,Agente21111,1
Agente26937,1,Agente4842,1
Agente30714,1,Agente14093,1
Agente8404,1,Agente19612,1
Agente15521,1,Agente4842,1
Agente29054,1,Agente21543,1
Agente24397,1,Agente15071,1
Agente14424,1,Agente6279,1
Agente24377,1,Agente18875,1
Agente23100,1,Agente25823,1
Agente21624,1,Agente26799,2
Agente16114,1,Agente10806,1
Agente16483,1,Agente28006,2
Agente6866,1,Agente13526,1
Agente23793,1,Agente18735,1
Agente23152,1,Agente474,1
Agente5176,1,Agente21886,1
Agente20507,1,Agente20734,1
Agente6135,1,Agente21543,1
Agente20456,1,Agente25428,1
Agente23025,1,Agente13469,1
Agente16082,1,Agente11026,1
Agente29054,1,Agente23623,1
Agente19633,1,Agente26117,1
Agente1736,1,Agente11088,1
Agente13028,1,Agente10270,2
Agente20336,1,Agente2,1
Agente2,1,Agente19797,1
Agente15086,1,Agente27247,1
Agente4833,1,Agente17700,3
Agente16600,1,Agente22337,1
Agente6307,1,Agente6510,1
Agente9058,1,Agente20931,1
Agente17136,1,Agente25562,1
Agente24377,1,Agente27131,1
Agente21435,1,Agente24492,1
Agente18865,1,Agente8699,1
Agente16673,1,Agente4605,1
Agente6464,1,Agente18700,4
Agente18690,1,Agente27635,1
Agente18122,1,Agente20508,1
Agente18804,1,Agente19119,2
Agente14842,1,Agente23919,1
Agente23922,1,Agente30351,1
Agente14594,1,Agente19574,2
Agente23514,1,Agente26740,1
Agente30873,1,Agente15974,1
Agente21268,1,Agente5692,1
Agente18030,1,Agente23623,1
Agente17812,1,Agente11207,1
Agente25252,1,Agente24095,1
Agente4532,1,Agente25333,1
Agente12961,1,Agente23623,1
Agente28210,1,Agente18623,1
Agente8687,1,Agente16895,2
Agente24184,1,Agente19921,2
Agente19161,1,Agente6605,1
Agente24828,1,Agente27247,1
Agente24632,1,Agente18345,1
Agente19496,1,Agente18225,1
Agente22721,1,Agente20414,1
Agente25241,1,Agente15086,1
Agente19536,1,Agente21572,1
